"ViolationID","BuildingID","RegistrationID","BoroID","Borough","HouseNumber","LowHouseNumber","HighHouseNumber","StreetName","StreetCode","Postcode","Apartment","Story","Block","Lot","Class","InspectionDate","ApprovedDate","OriginalCertifyByDate","OriginalCorrectByDate","NewCertifyByDate","NewCorrectByDate","CertifiedDate","OrderNumber","NOVID","NOVDescription","NOVIssuedDate","CurrentStatusID","CurrentStatus","CurrentStatusDate"
"10494736","809892","361383","3","BROOKLYN","811A","811A","811A","WILLOUGHBY AVENUE","93230","11206","3","3","1589","63","C","12/26/2014","01/03/2015","02/07/2015","02/02/2015",,,,"616","4977548","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st RADIATOR FROM EAST AT SOUTH WALL IN THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","04/29/2025"
"10494737","809892","361383","3","BROOKLYN","811A","811A","811A","WILLOUGHBY AVENUE","93230","11206","3","3","1589","63","C","12/26/2014","01/03/2015","02/07/2015","02/02/2015",,,,"616","4977548","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","04/29/2025"
"10493870","810449","403262","4","QUEENS","45-26","45-26","45-26","49 STREET","10740","11377",,"0","2281","1","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,"01/13/2015","672","4977373","§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED TO BOILER ROOM AT CELLAR","01/05/2015","19","VIOLATION CLOSED","02/25/2015"
"10493363","231836","321308","3","BROOKLYN","182","182","182","DECATUR STREET","32030","11233","3","3","1679","22","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,,"507","4977179","§ 27-2005 ADM CODE REPAIR THE ROOF SO THAT IT WILL NOT LEAK AT ALL CEILINGS. IN THE ENTIRE APARTMENT LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","06/05/2025"
"10493744","231836","321308","3","BROOKLYN","182","182","182","DECATUR STREET","32030","11233","3FL","3","1679","22","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,,"507","4977177","§ 27-2005 ADM CODE REPAIR THE ROOF SO THAT IT WILL NOT LEAK OVER CEILING IN THE ENTIRE APARTMENT LOCATED AT APT 3FL, 3rd STORY","01/05/2015","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","06/05/2025"
"10494896","9607","110367","1","MANHATTAN","183","183","187","CLAREMONT AVENUE","15410","10027","1G","1","1994","62","C","01/03/2015","01/04/2015","01/18/2015","01/13/2015",,,,"508","4977571","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR UNKEYED PLASTER AT CEILING IN THE BATHROOM LOCATED AT APT 1G, 1st STORY, 4th APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","01/26/2015"
"10487458","548722","915250","4","QUEENS","58-44","58-44","58-44","136 STREET","22340","11355","1FL","1","6366","14","C","12/24/2014","01/02/2015","01/18/2015","01/13/2015",,,,"550","4977318","SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING IN THE BATHROOM LOCATED AT APT 1FL, 1st STORY","01/05/2015","19","VIOLATION CLOSED","01/26/2015"
"10492579","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","D2","4","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977290","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT D2, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492582","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","D4","4","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977291","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT D4, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492583","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","D5","4","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977292","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT D5, 4th STORY, 2nd APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492584","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","D6","4","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977293","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT D6, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492585","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","C1","3","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977294","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT C1, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492586","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","C2","3","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977295","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT C2, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492587","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","C3","3","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977296","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT C3, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492588","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","C4","3","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977297","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT C4, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492589","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","C5","3","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977298","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT C5, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492590","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","C6","3","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977299","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT C6, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492591","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","B1","2","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977300","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT B1, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492592","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","B2","2","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977301","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT B2, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492593","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","B3","2","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977302","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT B3, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492594","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","B4","2","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977303","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT B4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492595","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","B5","2","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977304","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT B5, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492596","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","B6","2","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977305","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT B6, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492597","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","A1","1","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977306","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT A1, 1st STORY, 1st APARTMENT FROM WEST AT NORTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492598","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","A2","1","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977307","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT A2, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492600","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","A3","1","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977308","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT A3, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492603","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","A4","1","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977309","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT A4, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492605","507895","406643","4","QUEENS","103-45","103-45","103-45","97 STREET","19040","11417","A5","1","9120","48","C","12/19/2014","01/02/2015","01/18/2015","01/13/2015",,,,"510","4977310","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE AND WATER DAMAGED WALLS AND CEILINGS, IN THE ENTIRE APARTMENT LOCATED AT APT A5, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH","01/05/2015","19","VIOLATION CLOSED","08/03/2016"
"10492831","16651","103280","1","MANHATTAN","120","116","122","EAST 79 STREET","18570","10075","11B","11","1413","64","C","12/31/2014","01/03/2015","01/18/2015","01/13/2015",,,,"510","4977416","SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF HOT WATER EXCEEDING MAXIMUM OF130.F DEGREES AT HOT WATER FIXTURES, IN THE KITCHEN LOCATED AT APT 11B, 11th STORY, 1st APARTMENT FROM WEST AT NORTH","01/05/2015","19","VIOLATION CLOSED","01/26/2015"
"10492962","278075","0","3","BROOKLYN","1137","1137","1137","EAST 83 STREET","37530","11236","2","2","8049","28","C","12/31/2014","01/02/2015","01/13/2015","01/01/2015",,,"01/12/2015","970","4977824","SECTION 27-2031 ADMIN. CODE: PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 2, 2nd STORY","01/05/2015","19","VIOLATION CLOSED","01/22/2015"
"10492977","2069","112342","1","MANHATTAN","2181","2181","2181","3 AVENUE","10210","10035","2A","2","1783","45","C","12/31/2014","01/02/2015","01/13/2015","01/01/2015",,,"01/30/2015","666","4977778","§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH","01/05/2015","9","VIOLATION DISMISSED","10/02/2015"
"10492982","2069","112342","1","MANHATTAN","2181","2181","2181","3 AVENUE","10210","10035",,"0","1783","45","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,"01/30/2015","672","4976956","§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM BOILER ROOM DOOR LOCKED AT CELLAR","01/05/2015","19","VIOLATION CLOSED","05/27/2016"
"10493033","17582","130768","1","MANHATTAN","351","351","351","EAST 85 STREET","18690","10028",,"0","1548","123","C","12/31/2014","01/03/2015","01/18/2015","01/13/2015",,,,"506","4977419","§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING AIR INTAKE VENT AT BOILER ROOM","01/05/2015","19","VIOLATION CLOSED","08/06/2022"
"10493144","269035","352197","3","BROOKLYN","1375","1375","1379","EAST 53 STREET","37130","11234","2","2","7833","25","C","12/31/2014","01/03/2015","01/18/2015","01/13/2015",,,,"649","4977491","SECTION 27-2026 ADM CODE REMOVE ALL OBSTRUCTIONS AND REPAIR ALL DEFECTS IN WASTE LINE AT WASHBASIN IN THE BATHROOM LOCATED AT APT 2, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST","01/05/2015","19","VIOLATION CLOSED","07/29/2015"
"10493178","292837","332255","3","BROOKLYN","611","611","611","FLATBUSH AVENUE","40930","11225",,"1","5037","6","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,,"506","4977211","SECTION 27-2005 ADM CODE REPLACE WITH NEW THE MISSING HANDRAIL AT PUBLIC HALL STAIRS, 1st STORY","01/05/2015","19","VIOLATION CLOSED","01/23/2015"
"10493188","66846","209421","2","BRONX","684","684","684","EAST 189 STREET","27330","10458",,"2","3090","49","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,"02/09/2015","509","4977084","SECTION 27-2005 ADM CODE PROPERLY SECURE THE LOOSE MARBLE TREAD # 3 UP FROM BOTTOM AT PUBLIC HALL STAIRS, 2nd STORY","01/05/2015","19","VIOLATION CLOSED","02/12/2015"
"10493335","7227","142894","1","MANHATTAN","42","42","44","BOND STREET","13430","10012","7E","7","530","46","C","12/31/2014","01/03/2015","01/13/2015","01/01/2015",,,"01/13/2015","666","4977781","SECTION 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM WEST AT NORTH","01/05/2015","9","VIOLATION DISMISSED","03/26/2015"
"10493364","805904","113290","1","MANHATTAN","423","423","423","WEST 125 STREET","36270","10027","7","3","1966","59","C","12/31/2014","01/02/2015","01/13/2015","01/01/2015",,,"01/09/2015","666","4977850","SECTION 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","01/05/2015","9","VIOLATION DISMISSED","03/23/2015"
"10493384","805904","113290","1","MANHATTAN","423","423","423","WEST 125 STREET","36270","10027","5","3","1966","59","C","12/31/2014","01/02/2015","01/13/2015","01/01/2015",,,"01/09/2015","666","4977850","SECTION 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 5, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","9","VIOLATION DISMISSED","03/23/2015"
"10493401","51807","208270","2","BRONX","4040","4040","4040","BRONX BOULEVARD","15020","10466","6E","6","4821","51","C","12/31/2014","01/02/2015","01/18/2015","01/13/2015",,,,"505","4977056","SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE MORTISE LOCK AT ENTRANCE DOOR IN THE ENTRANCE LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION AT SOUTH","01/05/2015","19","VIOLATION CLOSED","01/23/2015"
"10493550","123284","219835","2","BRONX","3531","3531","3531","WHITE PLAINS ROAD","77150","10467","4","3","4643","14","C","01/01/2015","01/02/2015","01/14/2015","01/02/2015",,,,"666","4977810","SECTION 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 4, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","01/05/2015","9","VIOLATION DISMISSED","10/02/2015"
"10493553","123284","219835","2","BRONX","3531","3531","3531","WHITE PLAINS ROAD","77150","10467",,"1","4643","14","C","01/01/2015","01/02/2015","01/18/2015","01/13/2015",,,,"671","4977155","SECTION 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM BOILER ROOM DOOR AND OVER MAILBOXES AT PUBLIC HALL, 1st STORY","01/05/2015","2","NOV SENT OUT","01/05/2015"
